id,store_id,name,sku,description,buy_price,fbuy_price,sell_price,sell_price_pos,fsell_price,fsell_price_pos,market_price,fmarket_price,comission,fcomission,loyalty_points,require_shipping,weight,min_order,max_order,non_taxable,track_inventory,stock_qty,low_stock_alert,accept_preorder,is_out_stock,published,published_date,fpublished_date,pos_sell_price_dynamic,pos_hidden,meta_keywords,meta_description,photo,photo_md,photo_xs,photo_width,photo_height,reviewer_rating,reviewer_total,viewed,viewed_time,copy_product_combo_id,status
186255,188333,Merch Babe 1,,Totebag 1 + Cup 1,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,0,0000-00-00,,1,0,,,663de9c8d741d.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_663de9c8d741d.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_663de9c8d741d.jpg,1024,1280,0.0000,0,0,,,A
186270,188333,Merch Babe 2,,Totebag 1 + Cup 2 + Korek 1,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2024-05-10,10-May-2024,0,0,,,663dea4f12e2e.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_663dea4f12e2e.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_663dea4f12e2e.jpg,1024,1280,0.0000,0,0,,,A
204574,188333,Babe Merch 1,,,3000.00,IDR 3.000,3000.00,3000.00,IDR 3.000,IDR 3.000,3000.00,IDR 3.000,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2024-08-16,16-Aug-2024,0,1,,,66be7c6c2e333.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_66be7c6c2e333.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_66be7c6c2e333.jpg,1024,1280,0.0000,0,0,,,A
204575,188333,Merch Babe 2 + Free Snack,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2024-08-16,16-Aug-2024,0,1,,,66be7c7946bd6.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_66be7c7946bd6.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_66be7c7946bd6.jpg,1024,1280,0.0000,0,0,,,A
224642,188333,Babe Garansi-in !!!,,,0.00,IDR 0,2000.00,2000.00,IDR 2.000,IDR 2.000,0.00,IDR 0,3000.00,IDR 3.000,0.00,0,0.0000,0,0,0,0,0,0,0,0,1,2024-11-29,29-Nov-2024,0,0,,,674828bf93ec1.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_674828bf93ec1.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_674828bf93ec1.jpeg,1024,1024,0.0000,0,0,,,A
227124,188333,Merch Polos 1,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2024-12-05,05-Dec-2024,0,0,,,,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,0,0,0.0000,0,0,,,A
227125,188333,Merh Polos 2,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,0,2024-12-05,05-Dec-2024,0,0,,,,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,0,0,0.0000,0,0,,,A
241372,188333,Tukar Kupon Hitam Draft Beer,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2025-02-08,08-Feb-2025,0,0,,,,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,0,0,0.0000,0,0,,,A
241375,188333,Tukar Voucher Draft Beer,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2025-02-08,08-Feb-2025,0,0,,,,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,0,0,0.0000,0,0,,,A
241400,188333,Tukar Voucher Singaraja Beer 330,,,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0.00,IDR 0,0.00,IDR 0,0.00,0,0.0000,0,0,0,0,0,0,0,1,1,2025-02-08,08-Feb-2025,0,0,,,,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,0,0,0.0000,0,0,,,A
