id,photo_md,photo_xs,name,sku,klasifikasi_id,klasifikasi,category_id,category_name,brand_id,brand_name,published,pos_hidden,description,notes,published_date,collections,stock_qty,hold_qty,is_out_stock,low_stock_alert,market_price,buy_price,fbuy_price,last_buy_price,flast_buy_price,sell_price,sell_price_pos,fsell_price,fsell_price_pos,has_variant,with_lpoint,variants,store_name,store_url,track_inventory,max_sell_price,min_sell_price,max_sell_price_pos,min_sell_price_pos,fmax_sell_price,fmin_sell_price,fmax_sell_price_pos,fmin_sell_price_pos,name_sku_variant,length_dimension,width_dimension,high_dimension,weight_dimension
94264669,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Jinro Chmisul 360ml - O,,2308133,Outsource Produk,9901,Others,,,0,0,,,07-Jun-2025,"[{'id': 51499721, 'store_id': None, 'parent_id': None, 'name': 'LKBE', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.8.185', 'created_by': 'anaryacompany@gmail.com', 'created_time': '2025-06-07 11:37:37', 'modified_from': '', 'modified_by': '', 'modified_time': '0000-00-00 00:00:00', 'pivot': None}]",0,0,0,0,150000.00,100000.00,IDR 100.000,100000.00,IDR 100.000,150000.00,150000.00,IDR 150.000,IDR 150.000,1,0,"[{'id': 51499721, 'product_id': 94264669, 'parent_id': None, 'sku': '', 'name': 'LKBE', 'stock_qty': 0, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '150000.00', 'buy_price': '100000.00', 'last_buy_price': '0.00', 'sell_price': '150000.00', 'sell_price_pos': '150000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.8.185', 'created_by': 'anaryacompany@gmail.com', 'created_time': '2025-06-07 11:37:37', 'modified_from': '', 'modified_by': '', 'modified_time': '0000-00-00 00:00:00', 'stock_sync_time': '0000-00-00 00:00:00', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 150.000', 'fbuy_price': 'IDR 100.000', 'fsell_price': 'IDR 150.000', 'fsell_price_pos': 'IDR 150.000', 'flast_buy_price': 'IDR 0', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}]",Kulkas Babe,kulkasbabe,0,150000.00,150000.00,150000.00,150000.00,IDR 150.000,IDR 150.000,IDR 150.000,IDR 150.000,IDR 150.000,0,0,0,0
94219565,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Babe Gratisin Instant!,,1906405,Merchandise,9901,Others,,,0,0,,,06-Jun-2025,[],76,0,0,0,0.00,0.00,IDR 0,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0,0,[],Kulkas Babe,kulkasbabe,1,0,0,0,0,IDR 0,IDR 0,IDR 0,IDR 0,IDR 0,0,0,0,0
93694043,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Singleton 12 YO Glen Ord 700ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 51063997, 'store_id': None, 'parent_id': None, 'name': 'LKBP', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.8.57', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-29 03:29:26', 'modified_from': '36.68.8.235', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-08 09:46:42', 'pivot': None}]",0,0,0,0,0.00,825000.00,IDR 825.000,825000.00,IDR 825.000,1200000.00,1200000.00,IDR 1.200.000,IDR 1.200.000,1,0,"[{'id': 51063997, 'product_id': 93694043, 'parent_id': None, 'sku': '', 'name': 'LKBP', 'stock_qty': 1, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '825000.00', 'last_buy_price': '825000.00', 'sell_price': '1200000.00', 'sell_price_pos': '1200000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.8.57', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-29 03:29:26', 'modified_from': '36.68.8.235', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-08 09:46:42', 'stock_sync_time': '2025-06-02 15:14:46', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 825.000', 'fsell_price': 'IDR 1.200.000', 'fsell_price_pos': 'IDR 1.200.000', 'flast_buy_price': 'IDR 825.000', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}]",Kulkas Babe,kulkasbabe,1,1200000.00,1200000.00,1200000.00,1200000.00,IDR 1.200.000,IDR 1.200.000,IDR 1.200.000,IDR 1.200.000,IDR 1.200.000,0,0,0,0
93413837,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Jinro Soju Peach 360ml - O,,2308133,Outsource Produk,9901,Others,,,0,0,,,24-May-2025,"[{'id': 51165487, 'store_id': None, 'parent_id': None, 'name': 'LKBE', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.8.57', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-30 07:46:46', 'modified_from': '', 'modified_by': '', 'modified_time': '0000-00-00 00:00:00', 'pivot': None}]",0,0,0,0,0.00,100000.00,IDR 100.000,100000.00,IDR 100.000,150000.00,150000.00,IDR 150.000,IDR 150.000,1,0,"[{'id': 51165487, 'product_id': 93413837, 'parent_id': None, 'sku': '', 'name': 'LKBE', 'stock_qty': 0, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '100000.00', 'last_buy_price': '0.00', 'sell_price': '150000.00', 'sell_price_pos': '150000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.8.57', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-30 07:46:46', 'modified_from': '', 'modified_by': '', 'modified_time': '0000-00-00 00:00:00', 'stock_sync_time': '0000-00-00 00:00:00', 'vweight': '1.0000', 'is_default': 0, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 100.000', 'fsell_price': 'IDR 150.000', 'fsell_price_pos': 'IDR 150.000', 'flast_buy_price': 'IDR 0', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 0}]",Kulkas Babe,kulkasbabe,0,150000.00,150000.00,150000.00,150000.00,IDR 150.000,IDR 150.000,IDR 150.000,IDR 150.000,IDR 150.000,0,0,0,0
92897941,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Intisari Blackcurrant 620ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 50527996, 'store_id': None, 'parent_id': None, 'name': 'CKBA', 'status': 'A', 'view_order': 9999, 'created_from': '125.166.167.146', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-17 05:35:35', 'modified_from': '125.166.189.116', 'modified_by': 'Babee', 'modified_time': '2025-06-10 00:10:10', 'pivot': None}, {'id': 51652511, 'store_id': None, 'parent_id': None, 'name': 'LKBPK', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.10.27', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-06-11 04:29:39', 'modified_from': '36.65.11.139', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-12 12:28:16', 'pivot': None}]",0,0,0,6,0.00,60000.00,IDR 60.000,60000.00,IDR 60.000,83000.00,83000.00,IDR 83.000,IDR 83.000,1,0,"[{'id': 50527996, 'product_id': 92897941, 'parent_id': None, 'sku': '', 'name': 'CKBA', 'stock_qty': 0, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '60000.00', 'last_buy_price': '60000.00', 'sell_price': '83000.00', 'sell_price_pos': '83000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '125.166.167.146', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-17 05:35:35', 'modified_from': '125.166.189.116', 'modified_by': 'Babee', 'modified_time': '2025-06-10 00:10:10', 'stock_sync_time': '2025-06-10 00:10:10', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 60.000', 'fsell_price': 'IDR 83.000', 'fsell_price_pos': 'IDR 83.000', 'flast_buy_price': 'IDR 60.000', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}, {'id': 51652511, 'product_id': 92897941, 'parent_id': None, 'sku': '', 'name': 'LKBPK', 'stock_qty': 27, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '59166.67', 'last_buy_price': '59166.67', 'sell_price': '83000.00', 'sell_price_pos': '83000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.10.27', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-06-11 04:29:39', 'modified_from': '36.65.11.139', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-12 12:28:16', 'stock_sync_time': '2025-06-12 12:28:16', 'vweight': '0.0000', 'is_default': 0, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 59.166,67', 'fsell_price': 'IDR 83.000', 'fsell_price_pos': 'IDR 83.000', 'flast_buy_price': 'IDR 59.166,67', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 0}]",Kulkas Babe,kulkasbabe,1,83000.00,83000.00,83000.00,83000.00,IDR 83.000,IDR 83.000,IDR 83.000,IDR 83.000,IDR 83.000,0,0,0,0
92224931,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Good Day Soju Cherry 360ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 50116283, 'store_id': None, 'parent_id': None, 'name': 'LKBP', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:03:49', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'pivot': None}]",0,0,0,1,0.00,55000.00,IDR 55.000,55000.00,IDR 55.000,95000.00,95000.00,IDR 95.000,IDR 95.000,1,0,"[{'id': 50116283, 'product_id': 92224931, 'parent_id': None, 'sku': '', 'name': 'LKBP', 'stock_qty': 10, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '55000.00', 'last_buy_price': '55000.00', 'sell_price': '95000.00', 'sell_price_pos': '95000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:03:49', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'stock_sync_time': '2025-06-13 12:52:38', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 55.000', 'fsell_price': 'IDR 95.000', 'fsell_price_pos': 'IDR 95.000', 'flast_buy_price': 'IDR 55.000', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}]",Kulkas Babe,kulkasbabe,1,95000.00,95000.00,95000.00,95000.00,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,0,0,0,0
92224888,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Good Day Soju Red Pomegranate 360ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 50116263, 'store_id': None, 'parent_id': None, 'name': 'LKBP', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:02:36', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'pivot': None}]",0,0,0,1,0.00,55000.00,IDR 55.000,55000.00,IDR 55.000,95000.00,95000.00,IDR 95.000,IDR 95.000,1,0,"[{'id': 50116263, 'product_id': 92224888, 'parent_id': None, 'sku': '', 'name': 'LKBP', 'stock_qty': 13, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '55000.00', 'last_buy_price': '55000.00', 'sell_price': '95000.00', 'sell_price_pos': '95000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:02:36', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'stock_sync_time': '2025-06-13 12:52:38', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 55.000', 'fsell_price': 'IDR 95.000', 'fsell_price_pos': 'IDR 95.000', 'flast_buy_price': 'IDR 55.000', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}]",Kulkas Babe,kulkasbabe,1,95000.00,95000.00,95000.00,95000.00,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,0,0,0,0
92224858,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Good Day Soju Watermelon 360ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 50116232, 'store_id': None, 'parent_id': None, 'name': 'LKBP', 'status': 'A', 'view_order': 9999, 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:00:48', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'pivot': None}]",0,0,0,1,0.00,55000.00,IDR 55.000,55000.00,IDR 55.000,95000.00,95000.00,IDR 95.000,IDR 95.000,1,0,"[{'id': 50116232, 'product_id': 92224858, 'parent_id': None, 'sku': '', 'name': 'LKBP', 'stock_qty': 15, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '55000.00', 'last_buy_price': '55000.00', 'sell_price': '95000.00', 'sell_price_pos': '95000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '36.68.11.210', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-05-06 03:00:48', 'modified_from': '36.68.8.158', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-13 12:52:38', 'stock_sync_time': '2025-06-13 12:52:38', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 55.000', 'fsell_price': 'IDR 95.000', 'fsell_price_pos': 'IDR 95.000', 'flast_buy_price': 'IDR 55.000', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}]",Kulkas Babe,kulkasbabe,1,95000.00,95000.00,95000.00,95000.00,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,IDR 95.000,0,0,0,0
91159583,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Kawa Kawa Blackcurrant 600ml - I,,1906401,Inventory Produk,9901,Others,,,0,0,,,,"[{'id': 49530818, 'store_id': None, 'parent_id': None, 'name': 'CKBA', 'status': 'A', 'view_order': 9999, 'created_from': '125.164.183.62', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-04-18 04:33:47', 'modified_from': '125.166.189.116', 'modified_by': 'Babeh', 'modified_time': '2025-06-14 02:22:38', 'pivot': None}, {'id': 50262076, 'store_id': None, 'parent_id': None, 'name': 'LKBA', 'status': 'A', 'view_order': 9999, 'created_from': '125.166.188.194', 'created_by': 'admanarya1@gmail.com', 'created_time': '2025-05-09 05:55:47', 'modified_from': '36.68.8.235', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-08 09:46:32', 'pivot': None}]",0,0,0,45,0.00,64166.00,IDR 64.166,63333.00,IDR 63.333,88000.00,88000.00,IDR 88.000,IDR 88.000,1,0,"[{'id': 49530818, 'product_id': 91159583, 'parent_id': None, 'sku': '', 'name': 'CKBA', 'stock_qty': 133, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '63333.00', 'last_buy_price': '63333.00', 'sell_price': '88000.00', 'sell_price_pos': '88000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '125.164.183.62', 'created_by': 'procurementanarya1@gmail.com', 'created_time': '2025-04-18 04:33:47', 'modified_from': '125.166.189.116', 'modified_by': 'Babeh', 'modified_time': '2025-06-14 02:22:38', 'stock_sync_time': '2025-06-14 02:22:38', 'vweight': '0.0000', 'is_default': 1, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 63.333', 'fsell_price': 'IDR 88.000', 'fsell_price_pos': 'IDR 88.000', 'flast_buy_price': 'IDR 63.333', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 1}, {'id': 50262076, 'product_id': 91159583, 'parent_id': None, 'sku': '', 'name': 'LKBA', 'stock_qty': 0, 'hold_qty': 0, 'is_out_stock': 0, 'market_price': '0.00', 'buy_price': '64166.00', 'last_buy_price': '64166.00', 'sell_price': '88000.00', 'sell_price_pos': '88000.00', 'comission': '0.00', 'loyalty_points': '0.00', 'photo_id': None, 'view_order': 9999, 'status': 'A', 'created_from': '125.166.188.194', 'created_by': 'admanarya1@gmail.com', 'created_time': '2025-05-09 05:55:47', 'modified_from': '36.68.8.235', 'modified_by': 'admanarya1@gmail.com', 'modified_time': '2025-06-08 09:46:32', 'stock_sync_time': '2025-05-18 01:54:26', 'vweight': '1.0000', 'is_default': 0, 'fmarket_price': 'IDR 0', 'fbuy_price': 'IDR 64.166', 'fsell_price': 'IDR 88.000', 'fsell_price_pos': 'IDR 88.000', 'flast_buy_price': 'IDR 64.166', 'length_dimension': 0, 'width_dimension': 0, 'high_dimension': 0, 'weight_dimension': 0}]",Kulkas Babe,kulkasbabe,1,88000.00,88000.00,88000.00,88000.00,IDR 88.000,IDR 88.000,IDR 88.000,IDR 88.000,IDR 88.000,0,0,0,0
91159550,https://api-dash.olsera.co.id/img/no_data_item.png,https://api-dash.olsera.co.id/img/no_data_item.png,Kaos Iceland Vodka Mix,,1906405,Merchandise,9901,Others,,,0,0,,,18-Apr-2025,[],10,0,0,0,0.00,0.00,IDR 0,0.00,IDR 0,0.00,0.00,IDR 0,IDR 0,0,0,[],Kulkas Babe,kulkasbabe,1,0,0,0,0,IDR 0,IDR 0,IDR 0,IDR 0,IDR 0,0,0,0,0
